CONTRACT_ID,ENTITY_NAME,DEPARTMENT,MUNICIPALITY_TYPE,PROCESS_TYPE,CONTRACT_OBJECT,OBJETC_DETAIL,ESTIMATED_COST_ORIG,CONTRACT_VALUE_ORIG,ADDITIONAL_COST_ORIG,FINAL_COST_ORIG,YEAR,CONTRACT_DATE,START_DATE,ORIGINAL_DEADLINE,END_DATE,ID_ADJUDICACION,URLPROCESO,NIT_ENTIDAD,ID_CONTRATISTA,ESTIMATED_COST_NORM,CONTRACT_VALUE_NORM,ADDITIONAL_COST_NORM,FINAL_COST_NORM,ADDITIONAL_TIME,FINAL_DEADLINE,PROJECT_INTENSITY_NORM,PROJECT_INTENSITY_ORIG,AWARD_GROWTH_NORM,AWARD_GROWTH_ORIG,COST_DEVIATION_ORIG,COST_DEVIATION_NORM,TIME_DEVIATION,OWNER,REGION,GROUP,COST_GROUP_QUANTILE
19-4-9697142-8833779,CUNDINAMARCA - FONDO DE DESARROLLO DE PROYECTOS DE CUNDINAMARCA - FONDECUN,BOGOTÁ D.C.,OTHER,RÉGIMEN ESPECIAL,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE PLACA HUELLA EN LA VEREDA TERAMA DEL MUNICIPIO DE YACOPI,36000000.0,36000000.0,0.0,36000000.0,2019,2019-06-04,2019-06-04,90,2019-09-04,8833779,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9697142'},900258772,900183596,43.47217056547633,43.47217056547633,0.0,43.47217056547633,0,90,0.4830241173941815,400000.0,0.0,0.0,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,2
19-13-9883504-9778150,CAUCA - ALCALDIA MUNICIPIO DE LOPEZ DE MICAY,CAUCA,TYPE_6,CONTRATACIÓN MÍNIMA CUANTÍA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",OBRAS DE MEJORAMIENTO; MANTENIMIENTO Y LIMPIEZA DEL CAMINO QUE COMUNICA DESDE SABALETERO HASTA ESPANA (CORREGIMIENTO DE JOLI) DEL MUNICIPIO DE LOPEZ; CAUCA; OCCIDENTE,13784000.0,13784000.0,0.0,13784000.0,2019,2019-09-13,2019-09-13,6,2019-09-19,9778150,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-13-9883504'},No Definido,1480265,16.645011085403493,16.645011085403493,0.0,16.645011085403493,0,6,2.7741685142339154,2297333.3333333335,0.0,0.0,0.0,0.0,0.0,MUNICIPALITY,PACIFICA,Vias Rurales hasta 2020,1
15-13-4420489-4153976,BOYACA - ALCALDIA MUNICIPIO DE PAYA,BOYACÁ,TYPE_6,CONTRATACIÓN MÍNIMA CUANTÍA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MANTENIMIENTO PUENTE SOBRE LA QUEBRADA CHIQUITA VEREDA GUAYABAL MUNICIPIO DE PAYA  BOYACA,5010100.0,5010100.0,0.0,5010100.0,2015,2015-12-01,2015-12-01,10,2015-12-11,4153976,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4420489'},891801368-5,1115690328,7.775432606502677,7.775432606502677,0.0,7.775432606502677,0,10,0.7775432606502677,501010.0,0.0,0.0,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,1
17-12-6551225-5956454,ANTIOQUIA - ALCALDIA MUNICIPIO DE REMEDIOS,ANTIOQUIA,TYPE_4,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MANTENIMIENTO DE PUNTOS CRITICOS EN 35 METROS LINEALES EN LA VIA DE INGRESO A LA PLACA POLIDEPORTIVA DEL BARRIO JUAN PABLO II DEL MUNICIPIO DE REMEDIOS,5600150.0,5600150.0,0.0,5600150.0,2017,2017-04-07,2017-04-07,30,2017-05-07,5956454,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6551225'},890984312,800230048,7.591190117619629,7.591190117619629,0.0,7.591190117619629,0,30,0.25303967058732096,186671.66666666666,0.0,0.0,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,1
19-12-9584188-8724012,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTÁ D.C.,OTHER,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",REMODELACION Y ADECUACION DEL CENRO CULTURAL ARTURO VALENCIA ZEA DEL MPIO DE BOJACA,1400000000.0,1400000000.0,0.0,1400000000.0,2019,2019-06-21,2019-06-28,180,2019-12-28,8724012,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9584188'},900258711,800094622,1690.5844108796352,1690.5844108796352,0.0,1690.5844108796352,0,180,9.392135615997974,7777777.777777778,0.0,0.0,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,4
19-4-9577827-8732612,ANTIOQUIA - GOBERNACION,ANTIOQUIA,OTHER,RÉGIMEN ESPECIAL,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",EL DEPARTAMENTO COFINANCIA AL MUNICIPIO DE SANTA ROSA DE OSOS CON RECURSOS ECONOMICOS PARA LA EJECUCION DEL PROYECTO DE MEJORAMIENTO DE CAMINOS DE HERRADURA EN JURISDICCION DEL MUNICIPIO DE SANTA ROSA DE OSOS; SUBREGION NORTE DEL DEPARTAMENTO DE ANTIOQUIA.,37133000.0,37133000.0,0.0,37133000.0,2019,2019-06-26,2019-07-10,180,2020-01-10,8732612,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9577827'},890900286,890981554,44.84033637799536,44.84033637799536,0.0,44.84033637799536,0,180,0.249112979877752,206294.44444444444,0.0,0.0,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,2
20-12-11456145-10593588,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTÁ D.C.,OTHER,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE LA VIA QUE DE LA VIA CHIPAQUE - CEREZOS CONDUCE A LA ESCUELA GUAICA EN LA VEREDA NIZAME DEL MPIO DE CHIPAQUE,195353142.0,116887074.0,0.0,116887074.0,2020,2020-12-22,2020-12-29,240,2021-08-29,10593588,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-11456145'},900258711,899999467,222.54781767663133,133.15866316246357,0.0,133.15866316246357,0,240,0.5548277631769315,487029.475,-40.16626873603087,-40.16626873603087,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,3
17-12-7301169-6633931,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTÁ D.C.,OTHER,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE LA VIA TERCIARIA QUE COMUNICA LA VIA MARGINAL DE LA SELVA CON LA INSPECCION DE VILLA PACHELLY SECTOR COMPARTEL; EN EL MUNICIPIO DE PARATEBUENO,50000000.0,50000000.0,0.0,50000000.0,2017,2017-11-09,2017-11-30,240,2018-07-30,6633931,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-7301169'},900258711,8000741205,67.7766677465749,67.7766677465749,0.0,67.7766677465749,0,240,0.2824027822773954,208333.33333333334,0.0,0.0,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,2
17-12-6302358-5732193,ANTIOQUIA - ALCALDIA MUNICIPIO DE REMEDIOS,ANTIOQUIA,TYPE_4,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MANTENIMIENTO DE PUNTOS CRITICOS EN 12 KILOMETROS DE VIA TERCIARIA QUE COMUNICA EL PARAJE EL CALVARIO Y LA VEREDA CHORRO LINDO DEL MUNICIPIO DE REMEDIOS,19000000.0,19000000.0,0.0,19000000.0,2017,2017-02-21,2017-02-21,10,2017-03-03,5732193,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6302358'},890984312,811022151,25.755133743698465,25.755133743698465,0.0,25.755133743698465,0,10,2.5755133743698466,1900000.0,0.0,0.0,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,1
15-12-3965106-3679845,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTÁ D.C.,OTHER,CONTRATACIÓN DIRECTA (LEY 1150 DE 2007),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION PLACA HUELLA VERDA MONTE LUZ SECTOR  RIO VILLAMIZAR,81942000.0,81942000.0,0.0,81942000.0,2015,2015-06-22,2015-06-22,120,2015-10-22,3679845,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3965106'},900258711,8000947518,127.17001629549158,127.17001629549158,0.0,127.17001629549158,0,120,1.059750135795763,682850.0,0.0,0.0,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020,3
