CONTRACT_ID,ENTITY_NAME,DEPARTMENT,MUNICIPALITY_TYPE,PROCESS_TYPE,CONTRACT_OBJECT,OBJETC_DETAIL,ESTIMATED_COST_ORIG,CONTRACT_VALUE_ORIG,ADDITIONAL_COST_ORIG,FINAL_COST_ORIG,YEAR,CONTRACT_DATE,START_DATE,ORIGINAL_DEADLINE,END_DATE,ID_ADJUDICACION,URLPROCESO,NIT_ENTIDAD,ID_CONTRATISTA,DPTO_MUN_CONTRATISTA,MUNICIPALITY,NOM_CONTRATISTA,ESTIMATED_COST_NORM,CONTRACT_VALUE_NORM,ADDITIONAL_COST_NORM,FINAL_COST_NORM,ADDITIONAL_TIME,FINAL_DEADLINE,PROJECT_INTENSITY_NORM,PROJECT_INTENSITY_ORIG,AWARD_GROWTH_NORM,AWARD_GROWTH_ORIG,COST_DEVIATION_ORIG,COST_DEVIATION_NORM,TIME_DEVIATION,OWNER,REGION,GROUP
17-1-182595-7144364,ANTIOQUIA - ALCALDIA MUNICIPIO DE VEGACHI,ANTIOQUIA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",PAVIMENTACION DE VIAS TERCIARIAS MEDIANTE LA CONSTRUCCION DE PLACA HUELLA EN VARIAS VEREDAS DE LA ZONA RURAL DEL MUNICIPIO DE VEGACHI  ANTIOQUIA,419145550.0,419146148.0,0.0,419146148.0,2017,2017-12-19,2017-12-27,90,2018-03-27,7144364,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-182595'},890985285,900905235,Antioquia,Vegachí,ASINCON SAS,568.165773596108,568.1665842050543,0.0,568.1665842050543,0,90,6.312962046722825,4657179.422222222,1.4267120335963844e-06,1.4267120335644741e-06,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
15-1-138089-3735561,ANTIOQUIA - ALCALDIA MUNICIPIO DE COPACABANA,ANTIOQUIA,TYPE_3,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",¿MEJORAMIENTO DE LA MALLA VIAL RURAL DEL MUNICIPIO DE  COPACABANA EN RIELES DE CONCRETO¿,1897196148.0,1897146476.0,200000000.0,2097146476.0,2015,2015-06-30,2015-07-06,120,2015-12-06,3735561,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138089'},No Definido,8000400146,Antioquia,Copacabana,PAVIMENTAR SA,2944.3565577713975,2944.27946923256,310.39031582214636,3254.669785054706,30,150,24.53566224360467,15809553.966666667,-2.6181794672233656e-05,-2.6181794672292365e-05,0.10542148565232873,0.1054214856523286,0.25,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
15-1-141972-3833303,BOYACA - ALCALDIA MUNICIPIO DE SORACA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE VIAS RURALES VEREDAS ROSAL Y FAITOQUE MEDIANTE LA CONSTRUCCION DE PLACA HUELLA EN EL MUNICIPIO DE SORACA; DEPARTAMENTO DE BOYACA,552721424.0,552721424.0,15687324.0,568408748.0,2015,2015-08-14,2015-08-07,120,2015-12-07,3833303,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141972'},800019277-9,7175815 de Tunja,Boyacá,Soracá,FREDY OSWALDO DUITAMA VACCA,857.7968867851323,857.7968867851323,24.34596725382168,882.1428540389539,0,120,7.148307389876103,4606011.866666666,0.0,0.0,0.028381972036604104,0.02838197203660406,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
15-1-143842-3918082,CUNDINAMARCA - ALCALDIA MUNICIPIO DE COGUA,CUNDINAMARCA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",¿MEJORAMIENTO DE LA ESTRUCTURA VIAL; CONSTRUCCION DE PLACAS HUELLAS Y OBRAS DE ARTE EN LAS VIAS RURALES DEL MUNICIPIO DE COGUA DEPARTAMENTO DE CUNDINAMARCA¿,689781021.0,689781016.0,0.0,689781016.0,2015,2015-09-17,2015-09-17,90,2015-12-17,3918082,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-143842'},800100051-7,9008882708,Cundinamarca,Cogua,CONSORCIO OBRAS DE ARTE COGUA,1070.5067447815627,1070.5067370218048,0.0,1070.5067370218048,0,90,11.894519300242276,7664233.511111111,-7.248677228471556e-09,-7.248677258112035e-09,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
19-1-202937-8995527,ANTIOQUIA - ALCALDIA MUNICIPIO DE GUARNE,ANTIOQUIA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE PLACA HUELLAS Y OBRAS ADICIONALES EN VIA TERCIARIA DE LA VEREDA YOLOMBAL DEL MUNICIPIO DE GUARNE - ANTIOQUIA COMO EJECUCION DE LOS RECURSOS DE REGALIAS MUNICIPALES,1096675292.0,1072314058.0,214462811.0,1286776869.0,2019,2019-08-27,2019-09-16,90,2020-02-16,8995527,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-202937'},No Definido,8407211,Antioquia,Guarne,JOHN JAIRO VASQUEZ SUAREZ,1324.3015374657657,1294.8838785870578,258.9767749928754,1553.8606535799333,60,150,14.387598650967309,11914600.644444445,-0.02221371647351757,-0.022213716473517487,0.19999999944046243,0.19999999944046257,0.6666666666666666,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
16-1-165152-5432603,CUNDINAMARCA - ALCALDIA MUNICIPIO DE TOCANCIPA,CUNDINAMARCA,TYPE_5,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION; REHABILITACION; AMPLIACION DE LA VIA DE PIEDEMONTE; VEREDA CANAVITA MUNICIPIO DE TOCANCIPA,14000000000.0,13971578090.0,6971817467.0,20943395557.0,2016,2016-12-23,2016-12-23,360,2018-08-23,5432603,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-165152'},800093439-1,901037219,Cundinamarca,Tocancipá,CONSORCIO PIEDEMONTE,20305.89378567129,20264.6700509823,10112.070355570704,30376.740406553003,255,615,56.290750141617494,38809939.13888889,-0.002030136428571376,-0.0020301364285714284,0.4990000000064416,0.4990000000064416,0.7083333333333334,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
17-1-179303-6641358,TOLIMA - GOBERNACION,TOLIMA,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO Y PAVIMENTACION DE LA VIA SALADO  SAN BERNARDO EN ZONA RURAL DE IBAGUE EN EL DEPARTAMENTO DEL TOLIMA,12875310688.0,12841542304.0,5652560974.0,18494103278.0,2017,2017-11-16,2017-11-16,300,2019-07-24,6641358,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-179303'},800113672,901127921,Tolima,Ibagué,UNION TEMPORAL SAN BERNARDO,17452.913092690014,17407.13892183588,7662.234941041077,25069.373862876957,315,615,58.02379640611961,42805141.013333336,-0.00262272381756743,-0.002622723817567578,0.4401777325640464,0.44017773256404624,1.05,DEPARTMENT_GOVERNMENT,ANDINA,Vias Rurales hasta 2020
15-1-148893-5251384,BOYACA - ALCALDIA MUNICIPIO DE CHISCAS,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION; MANTENIMIENTO Y REHABILITACION DE LAS VIAS RURALES DEL MUNICIPIO DE CHISCAS ¿ BOYACA,1302000603.0,1301958148.0,0.0,1301958148.0,2015,2015-10-28,2015-11-02,60,2016-01-02,5251384,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148893'},800096585-0,900902977,Boyacá,Chiscas,CONSORCIO RURAL,2020.6418918289748,2020.5760037246837,0.0,2020.5760037246837,0,60,33.67626672874473,21699302.466666665,-3.260751178009248e-05,-3.260751178008479e-05,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
16-1-163271-5487024,SANTANDER - ALCALDIA MUNICIPIO DE SABANA DE TORRES,SANTANDER,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",REHABILITACION DEL PASO VEHICULAR DE LA VIA PAYOA 5 - CANO FIERAS SOBRE LA QUEBRADA CANO FIERAS DEL AREA RURAL DEL MUNICIPIO DE SABANA DE TORRES - SANTANDER,283398897.0,283363115.0,0.0,283363115.0,2016,2016-11-15,2016-11-22,45,2017-01-06,5487024,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-163271'},890204643,901028371,Santander,Sabana de Torres,CONSORCIO COINCO,411.0477072470284,410.9958082833542,0.0,410.9958082833542,0,45,9.133240184074538,6296958.111111111,-0.00012626019500703607,-0.00012626019500703984,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
19-1-203405-9049515,BOYACA - ALCALDIA MUNICIPIO DE TIBANA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO VIAS TERCIARIAS; CONSTRUCCION PLACA HUELLA SECTOR HATO VIEJO; MUNICIPIO DE TIBANA.,307657638.0,290005351.0,0.0,290005351.0,2019,2019-09-10,2019-09-17,120,2020-03-17,9049515,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203405'},891800860,901319261,Boyacá,Tibaná,CORSORCIO PROING,371.5151476363215,350.198946765912,0.0,350.198946765912,60,180,2.9183245563826,2416711.2583333333,-0.05737639772167796,-0.05737639772167789,0.0,0.0,0.5,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020
