CONTRACT_ID;ENTITY_NAME;DEPARTMENT;MUNICIPALITY_TYPE;PROCESS_TYPE;CONTRACT_OBJECT;OBJETC_DETAIL;ESTIMATED_COST_ORIG;CONTRACT_VALUE_ORIG;ADDITIONAL_COST_ORIG;FINAL_COST_ORIG;YEAR;CONTRACT_DATE;START_DATE;ORIGINAL_DEADLINE;END_DATE;ID_ADJUDICACION;URLPROCESO;NIT_ENTIDAD;ID_CONTRATISTA;DPTO_MUN_CONTRATISTA;MUNICIPALITY;NOM_CONTRATISTA;ESTIMATED_COST_NORM;CONTRACT_VALUE_NORM;ADDITIONAL_COST_NORM;FINAL_COST_NORM;ADDITIONAL_TIME;FINAL_DEADLINE;PROJECT_INTENSITY_NORM;PROJECT_INTENSITY_ORIG;AWARD_GROWTH_NORM;AWARD_GROWTH_ORIG;COST_DEVIATION_ORIG;COST_DEVIATION_NORM;TIME_DEVIATION;OWNER;REGION;GROUP
16-1-165551-5608725;GUAVIARE - INSTITUTO DEPARTAMENTAL DEL DEPORTE Y LA RECREACION;GUAVIARE;TYPE_2;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"SE REALIZARA OBRA DE CONSTRUCCION DE GRADERIAS CUBIERTAS; STAND COMERCIAL; CUARTO DE ACUMULADORES E ILUMINACION LED CON ENERGIA FOTOVOLTAICA PARA LA CANCHA DE FUTBOL MUNICIPAL DE CALAMAR DEPARTAMENTO DEL GUAVIARE";500000000,0;499996641,0;249781996,0;749778637,0;2017;2017-01-27;2017-03-06;120;2017-10-06;5608725;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-165551'};832000825;900438075;Meta;San José del Guaviare;AM ENERGY SAS;677,766677465749;677,7621242292098;338,58782703936606;1016,3499512685759;105;225;5,6480177019100815;4166638,675;-6,717999999991496e-06;-6,718e-06;0,4995673480934445;0,49956734809344455;0,875;MUNICIPALITY;AMAZONIA;Vias secundarias hasta 2020
19-21-15552-9384542;GUAVIARE - GOBERNACION;GUAVIARE;OTHER;LICITACIÓN OBRA PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONSTRUCCION; AMPLIACION Y MEJORAMIENTO DE RESTAURANTES ESCOLARES PARA EL FORTALECIMIENTO DE LA ESTRATEGIA DE INTERNADOS EN LA SEDE PRINCIPAL DE LA I.E. JOSE MIGUEL LOPEZ CALLE Y DE LA I.E. LA LIBERTAD EN EL DEPARTAMENTO DEL GUAVIARE";1616457870,0;1616285150,0;251325626,0;1867610776,0;2019;2019-12-31;2020-01-13;300;2021-03-13;9384542;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15552'};800103196;901352166;Guaviare;San José del Guaviare;CONSORCIO EDUCATIVAS RCL;1951,9703399040714;1951,7617700901806;303,49084669297537;2255,252616783156;135;435;6,505872566967269;5387617,166666667;-0,00010685091347291689;-0,00010685091347292584;0,15549584551958545;0,15549584551958553;0,45;DEPARTMENT_GOVERNMENT;AMAZONIA;Vias secundarias hasta 2020
19-21-11353-9018476;CASANARE - ALCALDIA MUNICIPIO DE TRINIDAD;CASANARE;TYPE_6;LICITACIÓN OBRA PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONSTRUCCION PAVIMENTO ARTICULADO (ADOQUIN) DE VIAS URBANAS DEL MUNICIPIO DE TRINIDAD; DEPARTAMENTO DE CASANARE";2610503547,0;2516519730,0;0,0;2516519730,0;2019;2019-09-10;2019-09-10;210;2020-04-10;9018476;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11353'};800031874-5;844004815;Casanare;Trinidad;MLAR INGENIERIA EU;3152,340429360138;3038,849303720735;0,0;3038,849303720735;0;210;14,470710970098738;11983427,285714285;-0,036002179391024534;-0,03600217939102459;0,0;0,0;0,0;MUNICIPALITY;ORINOQUIA;Vias secundarias hasta 2020
17-1-168291-5794157;CUNDINAMARCA - ALCALDIA MUNICIPIO DE SUBACHOQUE;CUNDINAMARCA;TYPE_6;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;MEJORAMIENTO DE LA VIA LLANITOS ¿ ALTANIA ¿SAN FERNANDO SECTOR EL CRUCE Y SECTOR SAN FERNANDO DEL MUNICIPIO DE SUBACHOQUE (SEGUN CONVENIO ICCU 209 DE 2016);500000000,0;499871565,0;0,0;499871565,0;2017;2017-03-14;2017-03-21;90;2017-06-21;5794157;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-168291'};891180191-2;9010615208;Cundinamarca;Subachoque;CONSORCIO VIAS SUBACHOQUE;677,766677465749;677,5925795393084;0,0;677,5925795393084;0;90;7,528806439325649;5554128,5;-0,00025686999999995297;-0,00025687;0,0;0,0;0,0;MUNICIPALITY;ANDINA;Vias secundarias hasta 2020
14-1-130810-3982295;TOLIMA - GOBERNACION;TOLIMA;OTHER;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONTRATAR LA FASE I DEL MEJORAMIENTO DE LA VIA SECUNDARIA ATACO - COYAIMA (DEL KO + 000 AL K10 + 695) EN EL DEPARTAMENTO DEL TOLIMA; EN EL MARCO DEL CONTRATO PLAN DE LA NACION CON LA REGION DEL SUR DEL DEPARTAMENTO DEL TOLIMA.";14952000000,0;14787394329,0;0,0;14787394329,0;2015;2015-10-21;2015-10-21;450;2017-01-13;3982295;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130810'};800113672;800143586;Tolima;Ibagué;MEYAN SA;23204,780010863662;22949,319979824628;0,0;22949,319979824628;0;450;50,99848884405473;32860876,286666665;-0,011008940008025795;-0,011008940008025683;0,0;0,0;0,0;DEPARTMENT_GOVERNMENT;ANDINA;Vias secundarias hasta 2020
16-1-162001-5170905;META - ALCALDIA MUNICIPIO DE MESETAS;META;TYPE_6;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"PAVIMENTACION EN CONCRETO HIDRAULICO PARA LAS VIAS URBANAS; CALLE 9 ENTRE CARRERA 18 Y 21; DEL SECTOR DEL BARRIO EL JARDIN DEL CASCO URBANO DEL MUNICIPIO DE MESETAS - META";921545639,0;920032060,0;0,0;920032060,0;2016;2016-10-10;2016-10-10;90;2017-01-08;5170905;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-162001'};892099317;901016520;Meta;Mesetas;CONSORCIO JARDIN 916;1336,6291331558984;1334,4338064123112;0,0;1334,4338064123112;0;90;14,827042293470125;10222578,444444444;-0,0016424352044488537;-0,0016424352044489465;0,0;0,0;0,0;MUNICIPALITY;ORINOQUIA;Vias secundarias hasta 2020
14-1-126822-3130743;VALLE DEL CAUCA - ALCALDIA MUNICIPIO DE YUMBO;VALLE DEL CAUCA;TYPE_1;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;REHABILITACION Y REPOSICION DE VIAS URBANAS Y OBRAS COMPLEMENTARIAS EN EL MUNICIPIO DE YUMBIO;2830188679,0;2814486279,0;0,0;2814486279,0;2014;2014-11-25;2014-12-09;210;2015-09-05;3130743;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-126822'};890399025;9007920460;Valle del Cauca;Yumbo;CONSORCIO NEPTUNO PROYECTOS 2014;4594,4621412337665;4568,971232142857;0,0;4568,971232142857;60;270;21,757005867346937;13402315,614285715;-0,005548181333814276;-0,005548181333814176;0,0;0,0;0,2857142857142857;MUNICIPALITY;PACIFICA;Vias secundarias hasta 2020
15-1-147618-5124737;SANTANDER - ALCALDIA MUNICIPIO DE VETAS;SANTANDER;TYPE_6;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;¿MEJORAMIENTO DE LA MALLA VIAL CASCO URBANO MUNICIPIO DE VETAS ¿ SANTANDER SECTORES CARRERA 2 ENTRE CALLES 4 Y 5 Y CALLE 4 ENTRE CARRERAS 3 Y 4¿.;186481980,0;186481980,0;0,0;186481980,0;2015;2015-09-30;2016-10-07;90;2017-01-07;5124737;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147618'};890210951;91209666;Santander;Vetas;TRINO ALBERTO CHACN MONTERO;289,4110033366959;289,4110033366959;0,0;289,4110033366959;0;90;3,2156778148521767;2072022,0;0,0;0,0;0,0;0,0;0,0;MUNICIPALITY;ANDINA;Vias secundarias hasta 2020
15-1-145573-4464586;BOYACA - ALCALDIA MUNICIPIO DE CERINZA;BOYACÁ;TYPE_6;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"MEJORAMIENTO DE LA VIA CENTRAL DEL NORTE SAN VICTORINO ALTO SALIDA CIRCUNVALAR EN EL MUNICIPIO DE CERINZA; BOYACA; CENTRO ORIENTE";185336419,0;185336419,0;0,0;185336419,0;2015;2015-09-17;2015-10-01;90;2016-01-01;4464586;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145573'};891857805;9008891159;Boyacá;Cerinza;CONSORCIO PHC;287,6331481337782;287,6331481337782;0,0;287,6331481337782;0;90;3,1959238681530913;2059293,5444444444;0,0;0,0;0,0;0,0;0,0;MUNICIPALITY;ANDINA;Vias secundarias hasta 2020
14-1-123197-2939847;CAUCA - GOBERNACION;CAUCA;OTHER;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONSTRUCCION DE PAVIMENTO  DE LA VIA 26CC01 MORALES-LA ESTACION¿ LA TOMA-SUAREZ EN EL  SECTOR PR25+007 AL PR 34+007 EN EL MUNICIPIO DE SUAREZ; DEPARTAMENTO DEL CAUCA";15719012954,0;15714298910,0;0,0;15714298910,0;2014;2014-11-19;2014-11-26;270;2015-08-26;2939847;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-123197'};No Definido;9007879504;Cauca;Popayán;CONSORCIO MORALES SUAREZ CAUCA;25517,878172077922;25510,225503246755;0,0;25510,225503246755;0;270;94,48231667869169;58201107,074074075;-0,00029989440264439795;-0,0002998944026444372;0,0;0,0;0,0;DEPARTMENT_GOVERNMENT;PACIFICA;Vias secundarias hasta 2020
15-1-145701-3972429;RISARALDA - GOBERNACION;RISARALDA;OTHER;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONSTRUCCION DE OBRAS DE  ESTABILIZACION; ADECUACION Y MEJORAMIENTO DE LA VIA LA MARIA- EL ESPANOL; MUNICIPIO DE SANTA ROSA DE CABAL";468413178,0;466780098,0;0,0;466780098,0;2015;2015-10-15;2015-10-23;60;2016-02-10;3972429;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145701'};891480085;10277495;Risaralda;Pereira;CARLOS EDUARDO QUIROGA ZAPATA;726,9545712733762;724,4201101885621;0,0;724,4201101885621;50;110;12,073668503142702;7779668,3;-0,0034864091718614367;-0,003486409171861514;0,0;0,0;0,8333333333333334;DEPARTMENT_GOVERNMENT;ANDINA;Vias secundarias hasta 2020
14-1-118182-3523899;CUNDINAMARCA - ALCALDIA MUNICIPIO DE SUPATA;CUNDINAMARCA;TYPE_6;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"MEJORAMIENTO; MANTENIMIENTO Y CONSERVACION DE LA VIA LA REFORMA - ALTO DE CORCEGA - LA ESMERALDA EN EL MUNICIPIO DE SUPATA DEL DEPARTAMENTO DE CUNDINAMARCA";180000000,0;179996611,0;0,0;179996611,0;2014;2014-07-15;2014-07-29;120;2014-12-29;3523899;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-118182'};899999398;9001609960;Bogotá D.C.;Supatá;PROYECTOS DE INGENIERIA CIVIL Y AMBIENTAL      SAS  PROICAM SAS;292,2077922077922;292,2022905844156;0,0;292,2022905844156;30;150;2,4350190882034632;1499971,7583333333;-1,88277777776092e-05;-1,882777777777778e-05;0,0;0,0;0,25;MUNICIPALITY;ANDINA;Vias secundarias hasta 2020
14-1-129707-3218448;META - ALCALDIA MUNICIPIO DE VILLAVICENCIO;META;TYPE_2;LICITACIÓN PÚBLICA;TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS;"CONSTRUCCION DE LA VIA CARRERA 62 ESTE ENTRE CALLE 27; CALLE 24 Y ENTRADA A MEGACOLEGIO BARRIO RELIQUIA EN EL MUNICIPIO DE VILLAVICENCIO";724500256,0;723474470,0;0,0;723474470,0;2014;2014-12-23;2014-12-23;90;2015-03-23;3218448;{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-129707'};892099324;900802808;Meta;Villavicencio;UNION TEMPORAL VIAS URBANAS 2015;1176,1367792207793;1174,4715422077923;0,0;1174,4715422077923;0;90;13,049683802308802;8038605,222222222;-0,0014158531919138907;-0,001415853191913848;0,0;0,0;0,0;MUNICIPALITY;ORINOQUIA;Vias secundarias hasta 2020
